ID|Brand|Type|Frame Size|Rental Rate|Purchase Date|Condition|Status
138|Specialized|Mountain Bike|Medium|25/day; 125/week|08/11/2022|Damaged|Rented
139|Bianchi|Road Bike|Medium|15/day; 75/week|30/04/2024|New|Under Maintenance
140|Norco|Electric Bike|Medium|20/day; 100/week|04/04/2019|Fair|Available
141|Scott|Hybrid Bike|Medium|30/day; 150/week|10/10/2019|New|Available
142|Specialized|Road Bike|Medium|15/day; 75/week|18/03/2021|Good|Under Maintenance
143|Specialized|BMX|Small|30/day; 150/week|25/02/2023|New|Under Maintenance
144|GT|Gravel Bike|Medium|10/day; 50/week|04/05/2024|Fair|Rented
145|Giant|Electric Bike|Large|30/day; 150/week|03/04/2024|Fair|Available
146|Giant|Road Bike|Large|25/day; 125/week|04/06/2020|New|Rented
147|Merida|Gravel Bike|Medium|15/day; 75/week|29/07/2024|Damaged|Under Maintenance
148|Giant|Electric Bike|Large|15/day; 75/week|19/02/2024|Good|Under Maintenance
149|Bianchi|Hybrid Bike|Small|30/day; 150/week|09/06/2019|New|Under Maintenance
150|Merida|Mountain Bike|Small|Missing|23/09/2023|Damaged|Under Maintenance
151|Trek|Gravel Bike|Large|20/day; 100/week|31/08/2019|New|Under Maintenance
152|Specialized|Electric Bike|Small|10/day; 50/week|09/09/2020|Damaged|Rented
153|Giant|Mountain Bike|Medium|10/day; 50/week|09/08/2019|Damaged|Under Maintenance
154|Santa Cruz|Gravel Bike|Small|10/day; 50/week|24/01/2024|New|Rented
155|Specialized|Gravel Bike|Large|15/day; 75/week|05/09/2024|New|Under Maintenance
156|Trek|BMX|Small|15/day; 75/week|06/10/2019|Damaged|Under Maintenance
157|Norco|Road Bike|Large|20/day; 100/week|05/06/2024|Good|Under Maintenance
158|Merida|Road Bike|Large|25/day; 125/week|08/10/2020|Damaged|Rented
159|GT|Hybrid Bike|Medium|25/day; 125/week|01/08/2019|Good|Under Maintenance
160|GT|Gravel Bike|Large|20/day; 100/week|26/06/2021|Damaged|Rented
161|Santa Cruz|Hybrid Bike|Large|15/day; 75/week|30/05/2024|Damaged|Available
162|GT|Gravel Bike|Large|20/day; 100/week|27/11/2023|New|Available
163|Norco|Hybrid Bike|Medium|30/day; 150/week|22/09/2023|New|Under Maintenance
164|Norco|Hybrid Bike|Small|10/day; 50/week|31/12/2019|Damaged|Rented
165|Norco|Gravel Bike|Medium|20/day; 100/week|06/10/2024|Good|Available
166|Norco|BMX|Medium|20/day; 100/week|25/03/2024|New|Rented
167|Bianchi|BMX|Large|15/day; 75/week|03/07/2023|New|Available
168|Norco|Electric Bike|Medium|10/day; 50/week|04/11/2021|Good|Available
169|Santa Cruz|BMX|Medium|30/day; 150/week|13/12/2023|Good|Rented
170|Merida|BMX|Large|25/day; 125/week|02/08/2022|New|Rented
171|Specialized|Mountain Bike|Medium|25/day; 125/week|13/03/2019|Good|Rented
172|Norco|Gravel Bike|Medium|15/day; 75/week|06/10/2020|New|Rented
173|Santa Cruz|Road Bike|Medium|20/day; 100/week|28/10/2023|New|Rented
174|Scott|BMX|Small|20/day; 100/week|30/06/2022|New|Rented
175|Bianchi|Road Bike|Small|25/day; 125/week|09/11/2024|Damaged|Under Maintenance
176|GT|Gravel Bike|Large|20/day; 100/week|30/09/2023|New|Rented
177|Giant|Road Bike|Small|20/day; 100/week|05/10/2021|Damaged|Under Maintenance
178|Santa Cruz|BMX|Medium|15/day; 75/week|26/10/2024|New|Available
179|Merida|BMX|Large|15/day; 75/week|02/11/2023|Damaged|Rented
180|Bianchi|Electric Bike|Medium|20/day; 100/week|15/11/2021|Fair|Available
181|Bianchi|Hybrid Bike|Small|15/day; 75/week|19/08/2021|Fair|Rented
182|Cannondale|Electric Bike|Large|15/day; 75/week|20/05/2019|New|Under Maintenance
183|Santa Cruz|Gravel Bike|Small|15/day; 75/week|14/06/2024|New|Rented
184|Cannondale|Hybrid Bike|Large|15/day; 75/week|04/04/2020|Damaged|Under Maintenance
185|Trek|Electric Bike|Medium|10/day; 50/week|14/03/2023|Damaged|Available
186|Scott|Hybrid Bike|Large|20/day; 100/week|14/10/2019|Damaged|Rented
187|Scott|Road Bike|Small|25/day; 125/week|05/09/2021|Fair|Under Maintenance
188|Giant|Mountain Bike|Large|15/day; 75/week|19/03/2024|New|Rented
189|Norco|Gravel Bike|Large|10/day; 50/week|17/08/2019|New|Available
190|Scott|BMX|Small|30/day; 150/week|05/03/2019|Good|Available
191|Bianchi|BMX|Small|25/day; 125/week|28/03/2024|Fair|Under Maintenance
192|Giant|Gravel Bike|Medium|20/day; 100/week|23/12/2021|Good|Under Maintenance
193|Santa Cruz|Hybrid Bike|Large|Missing|11/07/2024|Damaged|Under Maintenance
194|Santa Cruz|Hybrid Bike|Large|20/day; 100/week|18/10/2023|New|Rented
195|Specialized|Gravel Bike|Large|30/day; 150/week|12/03/2024|Fair|Rented
196|Trek|Electric Bike|Small|25/day; 125/week|03/08/2019|Fair|Available
197|Giant|Electric Bike|Medium|15/day; 75/week|04/07/2024|New|Rented
198|GT|Road Bike|Small|20/day; 100/week|18/07/2023|Good|Under Maintenance
199|Scott|Hybrid Bike|Medium|30/day; 150/week|22/12/2021|Good|Available
200|Scott|Mountain Bike|Large|30/day; 150/week|02/01/2023|Damaged|Under Maintenance
201|Bianchi|Road Bike|Large|10/day; 50/week|05/03/2021|Damaged|Under Maintenance
202|Trek|BMX|Small|25/day; 125/week|07/12/2022|New|Available
203|GT|Mountain Bike|Small|20/day; 100/week|24/11/2020|Damaged|Available
204|Cannondale|Electric Bike|Small|10/day; 50/week|31/07/2019|New|Under Maintenance
205|Santa Cruz|Mountain Bike|Medium|15/day; 75/week|20/06/2023|Fair|Available
206|Bianchi|Gravel Bike|Large|25/day; 125/week|07/12/2023|Good|Available
207|Santa Cruz|Road Bike|Medium|25/day; 125/week|05/06/2023|Good|Rented
208|Norco|Road Bike|Medium|Missing|21/04/2023|Good|Under Maintenance
209|Specialized|Gravel Bike|Small|25/day; 125/week|02/08/2022|Good|Available
210|Norco|BMX|Medium|25/day; 125/week|27/02/2024|Good|Available
211|Cannondale|Mountain Bike|Medium|25/day; 125/week|16/03/2024|Damaged|Available
212|Cannondale|Mountain Bike|Small|30/day; 150/week|03/11/2021|Damaged|Rented
213|Specialized|BMX|Small|20/day; 100/week|24/12/2024|Good|Available
214|Santa Cruz|Mountain Bike|Medium|25/day; 125/week|15/01/2024|Damaged|Available
215|Norco|BMX|Large|15/day; 75/week|02/12/2021|Good|Under Maintenance
216|Bianchi|Electric Bike|Small|25/day; 125/week|31/01/2019|Fair|Under Maintenance
217|Santa Cruz|Gravel Bike|Small|30/day; 150/week|13/05/2019|Fair|Available
218|Santa Cruz|Road Bike|Small|30/day; 150/week|08/11/2024|New|Rented
219|Norco|Road Bike|Small|20/day; 100/week|24/10/2022|New|Available
220|Norco|Road Bike|Small|30/day; 150/week|11/05/2020|Damaged|Under Maintenance
221|Santa Cruz|Electric Bike|Medium|20/day; 100/week|11/11/2022|New|Under Maintenance
222|Santa Cruz|Hybrid Bike|Medium|30/day; 150/week|06/11/2020|Good|Under Maintenance
223|Scott|BMX|Large|25/day; 125/week|13/10/2020|Fair|Rented
224|Giant|Road Bike|Medium|20/day; 100/week|21/03/2023|Good|Under Maintenance
225|Santa Cruz|Road Bike|Medium|25/day; 125/week|22/08/2022|Fair|Rented
226|Cannondale|BMX|Large|20/day; 100/week|13/11/2022|Fair|Available
227|Trek|BMX|Small|30/day; 150/week|31/12/2023|Good|Rented
228|Cannondale|Road Bike|Medium|20/day; 100/week|17/04/2020|New|Available
229|Scott|BMX|Medium|10/day; 50/week|14/03/2024|New|Rented
230|Norco|Gravel Bike|Small|20/day; 100/week|11/09/2022|Fair|Rented
231|Cannondale|Gravel Bike|Small|25/day; 125/week|21/08/2022|Fair|Available
232|Cannondale|Electric Bike|Small|10/day; 50/week|15/03/2023|Fair|Available
233|Trek|BMX|Medium|10/day; 50/week|22/06/2019|Good|Available
234|Giant|BMX|Large|10/day; 50/week|14/11/2021|New|Available
235|Trek|Hybrid Bike|Small|25/day; 125/week|15/07/2023|Damaged|Rented
236|Trek|Hybrid Bike|Small|20/day; 100/week|10/03/2021|Fair|Under Maintenance
237|Merida|Gravel Bike|Small|30/day; 150/week|14/05/2020|Damaged|Rented
238|Merida|Gravel Bike|Medium|20/day; 100/week|07/12/2019|Damaged|Rented
239|Merida|Electric Bike|Large|15/day; 75/week|16/04/2020|Damaged|Available
240|Norco|BMX|Small|25/day; 125/week|15/06/2023|Fair|Available
241|Bianchi|Hybrid Bike|Small|30/day; 150/week|20/07/2023|New|Available
242|Norco|Hybrid Bike|Medium|10/day; 50/week|02/03/2020|Good|Rented
243|Trek|Hybrid Bike|Small|25/day; 125/week|05/10/2019|Damaged|Rented
244|Trek|Mountain Bike|Large|15/day; 75/week|28/06/2024|Fair|Rented
245|Trek|Hybrid Bike|Large|25/day; 125/week|19/06/2024|Damaged|Under Maintenance
246|Giant|BMX|Large|25/day; 125/week|19/07/2019|Damaged|Under Maintenance
247|Norco|Gravel Bike|Small|25/day; 125/week|20/10/2023|New|Under Maintenance
248|Bianchi|Gravel Bike|Medium|Missing|19/09/2022|Fair|Under Maintenance
249|Specialized|Electric Bike|Small|15/day; 75/week|19/01/2023|Good|Rented
250|Giant|Electric Bike|Small|Missing|07/05/2021|Damaged|Under Maintenance
251|Santa Cruz|Electric Bike|Medium|Missing|27/11/2024|Damaged|Rented
252|Merida|Electric Bike|Medium|20/day; 100/week|28/04/2023|Fair|Rented
253|Bianchi|Electric Bike|Medium|25/day; 125/week|17/11/2024|Damaged|Under Maintenance
254|Santa Cruz|Hybrid Bike|Large|10/day; 50/week|07/07/2019|Damaged|Rented
255|Norco|Electric Bike|Small|20/day; 100/week|12/06/2020|New|Under Maintenance
256|Giant|Hybrid Bike|Large|25/day; 125/week|26/04/2020|New|Rented
257|Specialized|Hybrid Bike|Medium|25/day; 125/week|04/09/2019|Good|Rented
258|Santa Cruz|Gravel Bike|Medium|10/day; 50/week|03/03/2020|New|Under Maintenance
259|GT|Road Bike|Large|Missing|02/03/2022|Fair|Under Maintenance
260|Bianchi|Gravel Bike|Small|30/day; 150/week|27/11/2021|Fair|Available
261|Giant|Road Bike|Large|30/day; 150/week|28/06/2022|New|Rented
262|GT|BMX|Large|20/day; 100/week|29/04/2021|Fair|Available
263|Norco|Electric Bike|Large|10/day; 50/week|07/03/2021|Damaged|Rented
264|GT|Gravel Bike|Small|10/day; 50/week|28/09/2019|New|Available
265|Norco|Hybrid Bike|Small|20/day; 100/week|21/05/2022|Good|Available
266|Scott|Gravel Bike|Medium|15/day; 75/week|25/01/2023|Fair|Rented
267|Merida|Mountain Bike|Small|30/day; 150/week|12/07/2023|Damaged|Under Maintenance
268|Specialized|BMX|Medium|25/day; 125/week|01/06/2024|Damaged|Rented
269|Bianchi|Gravel Bike|Small|30/day; 150/week|02/09/2022|Damaged|Rented
270|Cannondale|Gravel Bike|Small|25/day; 125/week|23/12/2019|Good|Under Maintenance
271|Giant|Mountain Bike|Medium|15/day; 75/week|04/03/2022|Fair|Rented
272|Cannondale|Road Bike|Medium|25/day; 125/week|01/05/2022|New|Rented
273|Trek|Road Bike|Small|25/day; 125/week|12/06/2021|Fair|Under Maintenance
274|Giant|Electric Bike|Large|25/day; 125/week|18/05/2022|Good|Available
275|Cannondale|Electric Bike|Medium|15/day; 75/week|28/10/2021|Damaged|Rented
276|Scott|BMX|Medium|25/day; 125/week|01/11/2019|New|Rented
277|Norco|Mountain Bike|Small|30/day; 150/week|12/03/2020|Damaged|Available
278|Specialized|Electric Bike|Medium|25/day; 125/week|09/02/2022|New|Under Maintenance
279|Norco|Gravel Bike|Large|15/day; 75/week|14/07/2019|Fair|Under Maintenance
280|Scott|Mountain Bike|Small|25/day; 125/week|10/01/2022|New|Available
281|Merida|Road Bike|Large|20/day; 100/week|17/05/2020|Good|Available
282|Cannondale|Mountain Bike|Large|15/day; 75/week|08/09/2020|Good|Rented
283|Bianchi|BMX|Large|20/day; 100/week|05/03/2020|New|Available
284|Scott|BMX|Small|10/day; 50/week|17/01/2021|Good|Available
285|Scott|Road Bike|Small|25/day; 125/week|29/12/2021|Damaged|Under Maintenance
286|Merida|BMX|Small|15/day; 75/week|16/06/2022|New|Rented
287|Trek|Electric Bike|Large|20/day; 100/week|16/06/2024|Damaged|Available
288|Cannondale|Gravel Bike|Small|15/day; 75/week|31/12/2022|New|Available
289|Santa Cruz|Electric Bike|Small|10/day; 50/week|05/03/2020|New|Available
290|Santa Cruz|Gravel Bike|Small|20/day; 100/week|23/07/2023|Good|Available
291|Bianchi|Hybrid Bike|Small|25/day; 125/week|03/05/2020|Good|Rented
292|Cannondale|BMX|Medium|Missing|12/01/2019|Fair|Rented
293|Merida|Road Bike|Small|25/day; 125/week|27/07/2020|Good|Available
294|Cannondale|Gravel Bike|Large|30/day; 150/week|18/09/2024|Good|Under Maintenance
295|Scott|Mountain Bike|Medium|15/day; 75/week|18/02/2020|Good|Under Maintenance
296|Cannondale|Hybrid Bike|Medium|10/day; 50/week|31/01/2020|Good|Under Maintenance
297|Norco|Electric Bike|Large|15/day; 75/week|16/12/2024|New|Rented
298|Specialized|Hybrid Bike|Medium|15/day; 75/week|09/07/2021|Good|Rented
299|Giant|Gravel Bike|Medium|15/day; 75/week|19/06/2023|Damaged|Under Maintenance
300|Scott|Road Bike|Medium|10/day; 50/week|14/08/2022|Fair|Under Maintenance
301|Cannondale|Gravel Bike|Large|30/day; 150/week|24/10/2022|Good|Rented
302|Trek|Gravel Bike|Medium|25/day; 125/week|24/02/2023|Good|Rented
303|Specialized|BMX|Medium|10/day; 50/week|24/10/2023|Damaged|Rented
304|Santa Cruz|Road Bike|Large|30/day; 150/week|07/04/2019|Damaged|Rented
305|GT|BMX|Medium|30/day; 150/week|27/12/2020|Good|Under Maintenance
306|Merida|Electric Bike|Large|20/day; 100/week|22/03/2022|Damaged|Available
307|Specialized|Electric Bike|Large|30/day; 150/week|27/03/2019|New|Rented
308|Scott|BMX|Medium|20/day; 100/week|11/02/2024|Damaged|Under Maintenance
309|Merida|Gravel Bike|Medium|25/day; 125/week|30/01/2021|New|Under Maintenance
310|Santa Cruz|BMX|Small|10/day; 50/week|18/04/2020|Fair|Rented
311|Norco|Hybrid Bike|Small|30/day; 150/week|09/09/2024|Damaged|Available
312|GT|BMX|Large|10/day; 50/week|28/01/2023|Good|Rented
313|GT|Electric Bike|Medium|30/day; 150/week|23/05/2024|New|Available
314|Bianchi|Hybrid Bike|Small|20/day; 100/week|12/03/2019|Damaged|Under Maintenance
315|Trek|Electric Bike|Large|20/day; 100/week|30/11/2020|New|Under Maintenance
316|Trek|Electric Bike|Large|20/day; 100/week|08/06/2021|Damaged|Available
317|Scott|BMX|Large|10/day; 50/week|26/06/2019|Damaged|Available
318|Bianchi|Gravel Bike|Small|20/day; 100/week|13/09/2023|New|Under Maintenance
319|Scott|Mountain Bike|Large|30/day; 150/week|29/05/2019|Fair|Available
320|Specialized|Road Bike|Large|15/day; 75/week|12/11/2024|New|Under Maintenance
321|Santa Cruz|BMX|Large|25/day; 125/week|01/08/2024|New|Rented
322|Merida|BMX|Large|10/day; 50/week|02/09/2024|New|Under Maintenance
323|Giant|Road Bike|Medium|10/day; 50/week|28/03/2024|Damaged|Available
324|GT|Road Bike|Small|20/day; 100/week|31/05/2023|Damaged|Available
325|Merida|BMX|Medium|25/day; 125/week|17/05/2020|Good|Rented
326|Bianchi|Electric Bike|Large|20/day; 100/week|13/07/2019|New|Available
327|Giant|Road Bike|Small|10/day; 50/week|11/02/2021|Damaged|Rented
328|Bianchi|Electric Bike|Medium|30/day; 150/week|24/08/2023|Damaged|Rented
329|Cannondale|Road Bike|Medium|15/day; 75/week|10/09/2022|Good|Available
330|Cannondale|Mountain Bike|Small|30/day; 150/week|25/07/2019|Good|Under Maintenance
331|Santa Cruz|Hybrid Bike|Medium|10/day; 50/week|18/01/2020|New|Under Maintenance
332|Trek|Gravel Bike|Large|20/day; 100/week|23/08/2021|Fair|Rented
333|Merida|Road Bike|Small|Missing|24/04/2023|New|Under Maintenance
334|Norco|Road Bike|Medium|15/day; 75/week|22/04/2024|New|Rented
335|Specialized|Gravel Bike|Large|15/day; 75/week|20/03/2022|Good|Available
336|Norco|Mountain Bike|Large|15/day; 75/week|30/11/2024|Good|Under Maintenance
